[INFO|2025-02-01 16:42:09,322 | __main__] Running with args: {'uni': True, 'code': False, 'model': 'gpt-4o-mini-2024-07-18'}
[INFO|2025-02-01 16:42:09,322 | root] Running multiple choice challange with uni model gpt-4o-mini-2024-07-18
[INFO|2025-02-01 16:45:49,100 | shared] Writing to /home/simon/Documents/Uni/seminar_prompt_engineering/src/results/1738424529_uni_qa_qLlaqzBO/population_4.json
[INFO|2025-02-01 16:45:49,104 | shared] Stats: 0.8571428571428571 | 0.8035714285714286 | 0.7142857142857143
[INFO|2025-02-01 16:45:49,974 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:45:49,976 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:45:50,119 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:45:50,254 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:45:51,627 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:46:08,756 | shared] Writing to /home/simon/Documents/Uni/seminar_prompt_engineering/src/results/1738424529_uni_qa_qLlaqzBO/population_5.json
[INFO|2025-02-01 16:46:08,761 | shared] Stats: 0.8571428571428571 | 0.8214285714285714 | 0.7142857142857143
[INFO|2025-02-01 16:46:09,617 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:46:09,845 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:46:09,919 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:46:10,521 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:46:10,950 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:46:13,794 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:46:24,854 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:46:33,086 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:46:43,499 | shared] Writing to /home/simon/Documents/Uni/seminar_prompt_engineering/src/results/1738424529_uni_qa_qLlaqzBO/population_6.json
[INFO|2025-02-01 16:46:43,503 | shared] Stats: 0.8571428571428571 | 0.7678571428571428 | 0.5714285714285714
[INFO|2025-02-01 16:46:44,595 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:46:44,641 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:46:44,816 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:00,304 | shared] Writing to /home/simon/Documents/Uni/seminar_prompt_engineering/src/results/1738424529_uni_qa_qLlaqzBO/population_7.json
[INFO|2025-02-01 16:47:00,308 | shared] Stats: 0.8571428571428571 | 0.8035714285714285 | 0.5714285714285714
[INFO|2025-02-01 16:47:01,247 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:01,249 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:01,249 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:01,249 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:01,279 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:01,359 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:01,379 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:15,881 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:16,282 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:18,080 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:18,256 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:33,220 | shared] Writing to /home/simon/Documents/Uni/seminar_prompt_engineering/src/results/1738424529_uni_qa_qLlaqzBO/population_8.json
[INFO|2025-02-01 16:47:33,224 | shared] Stats: 0.8571428571428571 | 0.7678571428571428 | 0.5714285714285714
[INFO|2025-02-01 16:47:34,100 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:34,166 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:34,320 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:34,322 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:34,357 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:53,897 | shared] Writing to /home/simon/Documents/Uni/seminar_prompt_engineering/src/results/1738424529_uni_qa_qLlaqzBO/population_9.json
[INFO|2025-02-01 16:47:53,900 | shared] Stats: 0.8571428571428571 | 0.8392857142857142 | 0.7142857142857143
[INFO|2025-02-01 16:47:54,778 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:54,779 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:54,781 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:54,783 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:58,483 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:58,486 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:47:58,488 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:48:11,792 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:48:14,140 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:48:15,468 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:48:23,598 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:48:28,217 | multiple_choice] Collecting responses
[INFO|2025-02-01 16:48:50,253 | shared] Writing to /home/simon/Documents/Uni/seminar_prompt_engineering/src/results/1738424529_uni_qa_qLlaqzBO/population_10.json
[INFO|2025-02-01 16:48:50,258 | shared] Done!
